,sender,receiver,time
632,Ike18,Ike22,1678.2796347222222
633,Ike13,Ike15,1678.3019377777778
634,Ike22,Ike18,1678.3069591666667
635,Ike18,Ike15,1678.3125969444445
636,Ike03,Ike15,1678.3271366666668
637,Ike11,Ike15,1678.3313616666667
638,Ike18,Ike22,1678.337665277778
639,Ike15,Ike18,1678.3412202777777
640,Ike18,Ike22,1678.363935
641,Ike22,Ike18,1678.3896775
642,Ike18,Ike22,1678.420661111111
643,Ike15,Ike14,1678.4879711111112
644,Ike07,Ike15,1678.4898425
645,Ike15,Ike11,1678.5017858333333
646,Ike15,Ike03,1678.5036444444445
647,Ike15,Ike07,1678.5064697222222
648,Ike08,Ike15,1678.599131111111
649,Ike15,Ike08,1678.8760827777778
650,Ike22,Ike13,1679.0183472222222
651,Ike13,Ike22,1679.0582183333333
652,Ike18,Ike22,1679.0828247222223
653,Ike22,Ike18,1679.1324316666667
654,Ike18,Ike22,1679.1518402777779
655,Ike22,Ike18,1679.2507097222222
656,Ike13,Ike22,1679.2551305555555
657,Ike18,Ike22,1679.2614147222223
658,Ike22,Ike18,1679.2960619444445
659,Ike18,Ike22,1679.3056391666667
660,Ike18,Ike22,1679.3329583333334
661,Ike22,Ike18,1679.3473194444443
662,Ike18,Ike22,1679.3645308333334
663,Ike22,Ike18,1679.405653888889
664,Ike18,Ike22,1679.4236566666666
665,Ike22,Ike18,1679.5402808333333
666,Ike18,Ike22,1679.5673094444444
667,Ike22,Ike18,1679.5974572222221
668,Ike18,Ike22,1679.6214141666667
669,Ike22,Ike18,1679.6791333333333
670,Ike18,Ike22,1680.0089969444443
671,Ike09,Ike18,1680.6045088888889
672,Ike09,Ike18,1680.8850105555555
673,Ike13,Ike17,1681.0560669444444
674,Ike03,Ike06,1682.3722391666668
675,Ike18,Ike08,1685.830321388889
676,Ike13,Ike11,1697.1663877777778
677,Ike11,Ike22,1697.7297472222222
678,Ike22,Ike11,1697.797018611111
679,Ike15,Ike13,1697.8378375
680,Ike13,Ike15,1697.8582183333333
681,Ike11,Ike22,1697.9539116666667
682,Ike18,Ike22,1697.9885833333333
683,Ike22,Ike07,1698.051131111111
684,Ike22,Ike18,1698.0710872222223
685,Ike18,Ike22,1698.0966986111112
686,Ike22,Ike18,1698.1214855555556
